Paralyze,Leaves the foe Paralyzed,10%,30%,80%,0,Paralyze for 3 turns. Steel and Electric types are immune to this skill
Opportunist,Attacks can occasionally deal greater damage than usual,5%,10%,10%,0,When triggered does 50% the current damage
Mega Boost,Fills the Mega Gauge of a Pokémon of the same type,50%,100%,100%,0,Increase the Mega Gauge Bar by 3
Power of 4,Attacks do more damage when you make a match of 4,0%,100%,0%,0,When triggered does 50% the current damage
Power of 5,Attacks do more damage when you make a match of 5,0%,0%,100%,0,When triggered does 50% the current damage
Eject,Removes one non-Support Pokémon icon without fail,100%,100%,100%,0,Removes a disruption-based Pokemon
Risk Taker,Damage may randomly be increased or decreased,50%,70%,100%,0,Not tested
Block Smash,Clears one unbreakable-block disruption without fail,100%,100%,100%,0,Removes 1 Metal Block on the board
Stabilize,Occasionally erases one of the foe's disruptions on the board,30%,50%,100%,0,Erases 1 Barrier - Rock - Metal Block - Black Cloud or Coin
Swap,Can replace a disruption with one of your Pokémon,30%,50%,100%,0,Changes 1 Rock, Metal Block or Coin into a matching Pokemon
Pummel,Increases damage done by any Fighting types in a combo,15%,50%,100%,0,Damages done by Fighting Type in the combo increased by 20%
Burn,Can inflict the opponent with a burn for three turns. All Fire-type damage is increased by 50,5%,30%,80%,0,Burn opponent for 3 turns. Burned Pokemon take 50% increased damage from Fire Pokemon
Sleep Charm,Inflicts the opponent with Sleep for three turns prevent it from using its distortion,5%,30%,80%,0,Asleep Pokemon cannot use disruption and damage increased by 20%
Swarm,Increases damage done by your last 3 attacks in a stage by 50,60%,100%,100%,0,When triggered does 50% the current damage but only activates on last 3 turns
Pixie Power,Increases damage of Fairy-type moves in a Combo,15%,35%,60%,0,Damages done by Fairy Type in the combo increased by 50%
Freeze,Has a chance of freezing an opponent,5%,25%,70%,0,Freezes for 3 turns, freeze pokemon cannot use disruption and take 50% increased damage from Ice Pokemon
Prank,Occasionally changes when a foe will next disrupt your play,20%,40%,100%,0,Changes the Timer Disruption counter to a random number
Pyre,Increases damage done by any Fire types in a combo,50%,100%,100%,0,Damages done by Fire Type in the combo increased by 20%
Rock Break,Destroys one breakable-rock disruption without fail,100%,100%,100%,0,Removes 1 Rock on the board
Mind Zap,Can delay your opponent's disruptions for a turn,10%,40%,100%,0,Resets the Timer Disruption counter back to original
Heavy Hitter,Attacks sometimes deal greater damage than usual,20%,50%,50%,0,When triggered does 50% more damage
Dragon Talon,Attacks sometimes deal greater damage than usual,20%,50%,50%,0,When triggered does 50% more damage
Steely Resolve,Attacks do more damage when things are looking desperate,60%,100%,100%,0,When triggered does 50% the current damage but only activates on last 3 turns
Barrier Bash,Removes one barrier-type disruption without fail,100%,100%,100%,0,Removes 1 Barrier from the board
Vitality Drain,Does more damage when the opponent has more HP left,5%,10%,30%,0,Damage equals Opponent's remaining HP x10%.
Dancing Dragons,Increases damage done by any Dragon types in a combo,20%,50%,100%,0,Damage done by Dragons in the same combo increased by 20%
Sinister Power,Increases damage of Dark-type moves in a Combo,15%,35%,60%,0,Damages done by Dark Type in the combo increased by 50%
Flap,Occasionally disrupts a Ground-type opponent's disruptions,50%,100%,100%,0,Timer Disruption will not go down for a turn when the opponent is Ground Type
Last-Ditch Effort,Attacks do more damage when things are looking desperate,50%,100%,100%,0,When triggered does 50% the current damage but only activates on last 3 turns
Quake,Sometimes increases damage and leaves opponent paralyzed,20%,30%,50%,0,Damage when triggered increased by 20% and Paralyzes the opponent. Electric and Steel Pokemons are immune to paralyze.
Crowd Control,The more of this Pokémon in the puzzle area the more damage,20%,100%,100%,0,Damage increased by number of same Pokemon on board x50
Counterattack,The more disruptions on the board the greater the damage,25%,50%,100%,0,Damage increased by number of disruptions on board x20
Hitting Streak,Does more damage the more times in a row it is triggered,60%,100%,100%,0,Damage is based on number of Damage Streak activated on same combo: 1st = +20% / 2nd = +44% / 3rd = +72% / 4th = +100%
Damage Streak,Does more damage the more times in a row it is triggered,60%,100%,100%,0,Damage is based on number of Damage Streak activated on same combo: 1st = +20% / 2nd = +44% / 3rd = +72% / 4th = +100%
Fearless,Combos do more damage if the opponent is Ghost type,10%,50%,100%,0,Not released yet.
Swat,Does more damage against Flying Bug or Fairy types,20%,30%,50%,0,Not tested
Brute Force,Increases damage for attacks that are not very effective,50%,100%,100%,0,Not very effective attacks will deal 2x damage
Cloud Clear,Clears clouds within 1 space,100%,100%,100%,0,Removes 1 Black Cloud on the board
Quirky,Occasionally erases one extra matching Pokémon elsewhere,30%,50%,100%,0,Erases 1 of the same Pokemon on board
Quirky+,Occasionally erases two extra matching Pokémon elsewhere,25%,35%,100%,0,Erases 2 of the same Pokemon on board
Stabilize+,Occasionally erases two of the foe's disruptions on the board,20%,50%,80%,0,Erases 2 Barrier - Rock - Metal Block - Black Cloud or Coin
Disrupt Buster,Occasionally erases all of the foe's disruptions,2%,3%,4%,0,Not released yet
Astonish,Can delay your opponent's disruptions for a turn,20%,30%,100%,0,Timer Disruption will not go down for a turn
Spookify,Leaves the foe spooked,5%,30%,80%,0,Opponent will be spooked. A Spooked Pokemon increases damage by Ghost Type by 50%
Chill,Can delay your opponent's disruptions for a turn,20%,30%,100%,0,Timer Disruption will not go down for a turn
Hyper Punch,Attacks sometimes deal greater damage than usual,10%,50%,50%,0,Damage when triggered x3
Power of 4+,Attacks do even more damage when you make a match of four,0%,80%,0%,0,Damage when triggered x3
Power of 5+,Attacks do even more damage when you make a match of five,0%,0%,80%,0,Damage when triggered x3
Crowd Power,The more of this Pokémon in the puzzle area the more damage,40%,100%,100%,0,Damage increased by number of same Pokemon on board x50
Double Normal,Increases damage done by any Normal types in a combo,20%,60%,80%,0,Damage done by Normal Types when triggered x2.5
Mega Boost+,Fills the Mega Gauge of the same type of Pokémon more,50%,100%,100%,0,Increase the Mega Gauge Bar by 6
Mega Boost++,Fills the Mega Gauge of same type of Pokémon even more,10%,20%,30%,0,Increase the Mega Gauge Bar by 9
Stabilize++,Occasionally erases five of the foe's disruptions on the board,25%,50%,100%,0,Erases 5 Barrier - Rock - Metal Block - Black Cloud or Coin
Rock Break+,Sometimes destroys three breakable-rock disruptions,50%,100%,100%,0,Removes 3 Rocks on the board
Rock Break++,Sometimes destroys five breakable-rock disruptions,40%,100%,100%,0,Removes 5 Rocks on the board
Cloud Clear+,Sometimes clears away three black-cloud disruptions,50%,100%,100%,0,Removes 3 Black Clouds on the board
